No;City;Type
263;Черняховск;Малый
264;Приморск;Малый
265;Городовиковск;Малый
266;Лагань;Малый
267;Элиста;Большой
268;Балабаново;Малый
269;Белоусово;Малый
270;Боровск;Малый
271;Ермолино;Малый
272;Жиздра;Малый
273;Жуков;Малый
274;Калуга;Крупный
275;Киров;Малый
276;Козельск;Малый
277;Кондрово;Малый
278;Кремёнки;Малый
279;Людиново;Малый
280;Малоярославец;Малый
281;Медынь;Малый
282;Мещовск;Малый
283;Мосальск;Малый
284;Обнинск;Большой
285;Сосенский;Малый
286;Спас-Деменск;Малый
287;Сухиничи;Малый
288;Таруса;Малый
289;Юхнов;Малый
290;Вилючинск;Малый
291;Елизово;Малый
292;Петропавловск-Камчатский;Большой
293;Карачаевск;Малый
294;Теберда;Малый
295;Усть-Джегута;Малый
296;Черкесск;Большой
297;Беломорск;Малый
298;Кемь;Малый
299;Кондопога;Малый
300;Костомукша;Малый
301;Лахденпохья;Малый
302;Медвежьегорск;Малый
303;Олонец;Малый
304;Петрозаводск;Крупный
305;Питкяранта;Малый
306;Пудож;Малый
307;Сегежа;Малый
308;Сортавала;Малый
309;Суоярви;Малый
310;Анжеро-Судженск;Средний
311;Белово;Средний
312;Берёзовский;Малый
313;Гурьевск;Малый
314;Калтан;Малый
315;Кемерово;Крупнейший
316;Киселёвск;Средний
317;Ленинск-Кузнецкий;Большой
318;Мариинск;Малый
319;Междуреченск;Большой
320;Мыски;Малый
321;Новокузнецк;Крупнейший
322;Осинники;Малый
323;Полысаево;Малый
324;Прокопьевск;Большой
325;Салаир;Малый
326;Тайга;Малый
327;Таштагол;Малый
328;Топки;Малый
329;Юрга;Средний
330;Белая Холуница;Малый
331;Вятские Поляны;Малый
332;Зуевка;Малый
333;Киров;Крупный
334;Кирово-Чепецк;Средний
335;Кирс;Малый
336;Котельнич;Малый
337;Луза;Малый
338;Малмыж;Малый
339;Мураши;Малый
340;Нолинск;Малый
341;Омутнинск;Малый
342;Орлов;Малый
343;Слободской;Малый
344;Советск;Малый
345;Сосновка;Малый
346;Уржум;Малый
347;Яранск;Малый
348;Воркута;Средний
349;Вуктыл;Малый
350;Емва;Малый
351;Инта;Малый
352;Микунь;Малый
353;Печора;Малый
354;Сосногорск;Малый
355;Сыктывкар;Большой
356;Усинск;Малый
357;Ухта;Средний
358;Буй;Малый
359;Волгореченск;Малый
360;Галич;Малый
361;Кологрив;Малый
362;Кострома;Крупный
363;Макарьев;Малый
364;Мантурово;Малый
365;Нерехта;Малый
366;Нея;Малый
367;Солигалич;Малый
368;Чухлома;Малый
369;Шарья;Малый
370;Абинск;Малый
371;Анапа;Средний
372;Апшеронск;Малый
373;Армавир;Большой
374;Белореченск;Средний
375;Геленджик;Средний
376;Горячий Ключ;Малый
377;Гулькевичи;Малый
378;Ейск;Средний
379;Кореновск;Малый
380;Краснодар;Крупнейший
381;Кропоткин;Средний
382;Крымск;Средний
383;Курганинск;Малый
384;Лабинск;Средний
385;Новокубанск;Малый
386;Новороссийск;Большой
387;Приморско-Ахтарск;Малый
388;Славянск-на-Кубани;Средний
389;Сочи;Крупный
390;Темрюк;Малый
391;Тимашёвск;Средний
392;Тихорецк;Средний
393;Туапсе;Средний
394;Усть-Лабинск;Малый
395;Хадыженск;Малый
396;Артёмовск;Малый
397;Ачинск;Большой
398;Боготол;Малый
399;Бородино;Малый
400;Дивногорск;Малый
401;Дудинка;Малый
402;Енисейск;Малый
403;Железногорск;Средний
404;Заозёрный;Малый
405;Зеленогорск;Средний
406;Игарка;Малый
407;Иланский;Малый
408;Канск;Средний
409;Кодинск;Малый
410;Красноярск;Миллионник
411;Лесосибирск;Средний
412;Минусинск;Средний
413;Назарово;Средний
414;Норильск;Большой
415;Сосновоборск;Малый
416;Ужур;Малый
417;Уяр;Малый
418;Шарыпово;Малый
419;Далматово;Малый
420;Катайск;Малый
421;Курган;Крупный
422;Куртамыш;Малый
423;Макушино;Малый
424;Петухово;Малый
425;Шадринск;Средний
426;Шумиха;Малый
427;Щучье;Малый
428;Дмитриев;Малый
429;Железногорск;Средний
430;Курск;Крупный
431;Курчатов;Малый
432;Льгов;Малый
433;Обоянь;Малый
434;Рыльск;Малый
435;Суджа;Малый
436;Фатеж;Малый
437;Щигры;Малый
438;Бокситогорск;Малый
439;Волосово;Малый
440;Волхов;Малый
441;Всеволожск;Средний
442;Выборг;Средний
443;Высоцк;Малый
444;Гатчина;Средний
445;Ивангород;Малый
446;Каменногорск;Малый
447;Кингисепп;Малый
448;Кириши;Средний
449;Кировск;Малый
450;Коммунар;Малый
451;Лодейное Поле;Малый
452;Луга;Малый
453;Любань;Малый
454;Никольское;Малый
455;Новая Ладога;Малый
456;Отрадное;Малый
457;Пикалёво;Малый
458;Подпорожье;Малый
459;Приморск;Малый
460;Приозерск;Малый
461;Светогорск;Малый
462;Сертолово;Малый
463;Сланцы;Малый
464;Сосновый Бор;Средний
465;Сясьстрой;Малый
466;Тихвин;Средний
467;Тосно;Малый
468;Шлиссельбург;Малый
469;Грязи;Малый
470;Данков;Малый
471;Елец;Большой
472;Задонск;Малый
473;Лебедянь;Малый
474;Липецк;Крупнейший
475;Усмань;Малый
476;Чаплыгин;Малый
477;Магадан;Средний
478;Сусуман;Малый
479;Волжск;Средний
480;Звенигово;Малый
481;Йошкар-Ола;Большой
482;Козьмодемьянск;Малый
483;Ардатов;Малый
484;Инсар;Малый
485;Ковылкино;Малый
486;Краснослободск;Малый
487;Рузаевка;Малый
488;Саранск;Крупный
489;Темников;Малый
490;Москва;Миллионник
491;Апрелевка;Малый
492;Балашиха;Большой
493;Бронницы;Малый
494;Верея;Малый
495;Видное;Средний
496;Волоколамск;Малый
497;Воскресенск;Средний
498;Высоковск;Малый
499;Голицыно;Малый
500;Дедовск;Малый
501;Дзержинский;Малый
502;Дмитров;Средний
503;Долгопрудный;Средний
504;Домодедово;Средний
505;Дрезна;Малый
506;Дубна;Средний
507;Егорьевск;Средний
508;Железнодорожный;Большой
509;Жуковский;Большой
510;Зарайск;Малый
511;Звенигород;Малый
512;Ивантеевка;Средний
513;Истра;Малый
514;Кашира;Малый
515;Климовск;Средний
516;Клин;Средний
517;Коломна;Большой
518;Котельники;Малый
519;Королёв;Большой
520;Красноармейск;Малый
521;Красногорск;Большой
522;Краснозаводск;Малый
523;Краснознаменск;Малый
524;Кубинка;Малый
525;Куровское;Малый
526;Ликино-Дулёво;Малый
527;Лобня;Средний
528;Лосино-Петровский;Малый
529;Луховицы;Малый
530;Лыткарино;Средний
531;Люберцы;Большой
532;Можайск;Малый
533;Московский;Малый
